"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"ppx1x2x3p[7,86,2]",1.7014131756487,1.64873,1.52127073770216,243.9,0.95,1.0167,2.58192,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[8,86,2]",1.88116291417166,1.86276,1.85037861691696,256.8,0.95,1.37107,2.49961,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[9,86,2]",1.98685608782435,1.96544,1.88737401228825,271.2,0.95,1.39249,2.63075,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[10,86,2]",2.05148788423154,1.97264,1.85694822109223,234.5,0.95,1.12094,3.02959,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[11,86,2]",2.74443409181637,2.72443,2.64478045095568,171.8,0.95,1.96945,3.51572,NA,NA,NA,NA,NA,NA,NA
"ppx1p[1]",178.613836327345,178.303,182.849726095479,252.1,0.95,149.217,211.002,NA,NA,NA,NA,NA,NA,NA
"ppx1p[2]",237.968291816367,229.696,224.412779033623,190.5,0.95,99.9918,392.837,NA,NA,NA,NA,NA,NA,NA
"ppx1p[3]",223.517818363273,222.185,218.484267428555,114.5,0.95,152.418,306.196,NA,NA,NA,NA,NA,NA,NA
"ppx1p[4]",251.501740518962,248.938,239.983671540063,292.3,0.95,191.368,315.739,NA,NA,NA,NA,NA,NA,NA
"ppx1p[5]",211.843202994012,206.223,200.287501643249,220.9,0.95,111.811,315.072,NA,NA,NA,NA,NA,NA,NA
"ppx1p[6]",319.238824351297,317.129,309.967888040744,288.3,0.95,279.916,364.982,NA,NA,NA,NA,NA,NA,NA
"ppx1p[7]",342.476684630739,334.646,319.738815371774,283.2,0.95,190.342,460.565,NA,NA,NA,NA,NA,NA,NA
"ppx1p[8]",378.93875249501,378.181,362.531791452105,214,0.95,300.11,441.362,NA,NA,NA,NA,NA,NA,NA
"ppx1p[9]",399.194586826347,397.285,396.101314687681,240.8,0.95,326.265,464.78,NA,NA,NA,NA,NA,NA,NA
"ppx1p[10]",412.185898203593,406.103,401.510222327172,248.7,0.95,263.88,581.853,NA,NA,NA,NA,NA,NA,NA
"ppx1p[11]",551.59549500998,550.932,550.323069907738,270.6,0.95,512.756,591.224,NA,NA,NA,NA,NA,NA,NA
"ppx2p[1]",37.9015888223553,37.506,37.0140465407273,277.2,0.95,29.2745,49.963,NA,NA,NA,NA,NA,NA,NA
"ppx2p[2]",38.3281724550898,37.6016,33.6005437229087,186.2,0.95,24.9978,53.9368,NA,NA,NA,NA,NA,NA,NA
"ppx2p[3]",38.3573125748503,38.0447,38.1892544123307,246.2,0.95,27.0593,48.4278,NA,NA,NA,NA,NA,NA,NA
"ppx2p[4]",47.637344510978,47.0844,48.3327656860186,100.7,0.95,30.5758,65.3111,NA,NA,NA,NA,NA,NA,NA
"ppx2p[5]",44.5741576846307,44.0522,40.4252174997676,323.5,0.95,32.9133,61.2436,NA,NA,NA,NA,NA,NA,NA
"ppx2p[6]",41.0205884231537,40.8052,39.7848686316962,300.7,0.95,31.6427,49.1314,NA,NA,NA,NA,NA,NA,NA
"ppx2p[7]",44.5259932135729,43.7075,42.568069837134,275.7,0.95,31.5596,58.8816,NA,NA,NA,NA,NA,NA,NA
"ppx2p[8]",42.3,40.9988,39.3169906855033,181.8,0.95,24.3429,59.8699,NA,NA,NA,NA,NA,NA,NA
"ppx2p[9]",31.0554189620758,30.7798,30.0250508929317,157.9,0.95,23.3622,40.2762,NA,NA,NA,NA,NA,NA,NA
"ppx2p[10]",36.8970251497006,35.9345,34.2425043434532,189.3,0.95,23.47,50.6669,NA,NA,NA,NA,NA,NA,NA
"ppx2p[11]",39.9867491017964,39.4206,39.544299475246,279.8,0.95,25.7356,58.0402,NA,NA,NA,NA,NA,NA,NA
"ppx2p[12]",40.407179241517,40.0122,39.688136575627,251.7,0.95,30.0629,53.1132,NA,NA,NA,NA,NA,NA,NA
"ppx2p[13]",40.0282161676647,39.4839,38.4102228208513,183.9,0.95,29.0342,49.0566,NA,NA,NA,NA,NA,NA,NA
"ppx2p[14]",40.4305225548902,40.1023,37.7396490220318,254,0.95,27.3975,54.9636,NA,NA,NA,NA,NA,NA,NA
"ppx2p[15]",40.4864329341317,39.7319,39.0768736483644,331.9,0.95,26.3605,54.7895,NA,NA,NA,NA,NA,NA,NA
"ppx2p[16]",34.7412177644711,34.3846,33.6629664573856,268.4,0.95,24.8404,45.5468,NA,NA,NA,NA,NA,NA,NA
"ppx2p[17]",37.4995215568862,36.5788,35.8130573862566,279.5,0.95,24.3392,54.1802,NA,NA,NA,NA,NA,NA,NA
"ppx2p[18]",43.6038315369262,42.7742,41.9280285331365,325.3,0.95,29.4103,59.0462,NA,NA,NA,NA,NA,NA,NA
"ppx2p[19]",41.8593724550898,41.0448,38.801422914246,332.1,0.95,28.7726,57.1412,NA,NA,NA,NA,NA,NA,NA
"ppx2p[20]",38.0213916167665,37.862,38.5090538690637,219.3,0.95,24.5617,52.1611,NA,NA,NA,NA,NA,NA,NA
"ppx2p[21]",53.270127744511,52.6065,52.878787557332,52,0.95,39.9565,74.1457,NA,NA,NA,NA,NA,NA,NA
"ppx2p[22]",36.0554239520958,35.9889,35.7906570337992,273.9,0.95,24.9209,46.9242,NA,NA,NA,NA,NA,NA,NA
"ppx2p[23]",42.4141193612774,41.7889,39.5971053955626,369.9,0.95,30.7833,54.571,NA,NA,NA,NA,NA,NA,NA
"ppx2p[24]",35.9496786427146,35.7287,35.9209985762126,165.7,0.95,26.8364,47.2887,NA,NA,NA,NA,NA,NA,NA
"ppx2p[25]",41.4235451097804,40.7501,39.0691149702556,374.4,0.95,26.7036,56.5866,NA,NA,NA,NA,NA,NA,NA
"ppx2p[26]",41.2463608782435,39.9526,37.6015256808765,328.6,0.95,26.3556,57.8865,NA,NA,NA,NA,NA,NA,NA
"ppx2p[27]",32.9064051896208,32.4575,31.6389353404617,303.4,0.95,24.0795,41.3216,NA,NA,NA,NA,NA,NA,NA
"ppx2p[28]",37.2802846307385,37.29,38.9552853517252,296.4,0.95,25.5161,49.0204,NA,NA,NA,NA,NA,NA,NA
"ppx2p[29]",46.1615838323353,45.3369,43.7874695065599,197.3,0.95,35.1633,61.6451,NA,NA,NA,NA,NA,NA,NA
"ppx2p[30]",39.5033616766467,39.348,38.8829682384764,234.7,0.95,26.808,48.9387,NA,NA,NA,NA,NA,NA,NA
"ppx2p[31]",36.8870125748503,36.6295,36.878125571726,212,0.95,24.3299,48.843,NA,NA,NA,NA,NA,NA,NA
